sample_id	MT	unmapped
bima_A_ATAC	0.223128464519966	0.00050710872930172
bima_B_ATAC	0.153859900178631	0.000548712556348395
bima_C_ATAC	0.14644550652803	0.0345447429608364
bima_D_ATAC	0.117519740693119	0.0166777314861334
eofe_A_ATAC	0.206663439906686	0.000516710482007025
eofe_B_ATAC	0.0688768488892798	0.000379366541154804
eofe_C_ATAC	0.0751992074855352	0.0184490808813853
eofe_D_ATAC	0.142640514763618	0.0187512151794859
eika_B_ATAC	0.14116813599361	0.000484011404665534
eika_A_ATAC	0.190943687048322	0.000582654747987724
ieki_B_ATAC	0.18617966330212	0.000658907091641851
ieki_A_ATAC	0.158173182230037	0.000803878190550169
nusw_B_ATAC	0.158366154848621	0.000371219914314005
nusw_A_ATAC	0.36496054310667	0.000593104316132037
ruyv_B_ATAC	0.104438535757797	0.000467320774167532
ruyv_A_ATAC	0.120792658033895	0.000581931093896487
uimo_B_ATAC	0.146009031637761	0.00049728164484742
uimo_A_ATAC	0.285891194222182	0.000698932508648051
cicb_B_ATAC	0.320628743159431	0.000515806814207415
cicb_A_ATAC	0.310140070794959	0.000730311193627322
cicb_D_ATAC	0.155462480193979	0.0161033968492462
cicb_C_ATAC	0.221077327004624	0.0207766315952701
vass_B_ATAC	0.137444947712696	0.0013482525530183
vass_A_ATAC	0.563070223156362	0.000801158356508572
vass_D_ATAC	0.193210532921721	0.0137497108670457
vass_C_ATAC	0.137950362723303	0.0179345518941636
oefg_B_ATAC	0.194056307633326	0.000750589328412993
oefg_A_ATAC	0.440945005360597	0.0022412945230993
veqz_B_ATAC	0.264927626056453	0.000975196630834954
veqz_A_ATAC	0.265769135455477	0.0011153551467589
pahc_B_ATAC	0.24409641130789	0.000632758616738927
pahc_A_ATAC	0.416011905398638	0.000686083652499942
sukz_B_ATAC	0.373786670424293	0.00225669642989073
sukz_A_ATAC	0.419112662293794	0.000704700684899395
xucm_B_ATAC	0.182991756469188	0.000429513385235936
xucm_A_ATAC	0.205773388655444	0.000685800008315894
joxm_B_ATAC	0.0761175491559031	0.000767973748368325
joxm_A_ATAC	0.348016819560761	0.000995257772382431
iisa_A_ATAC	0.219162366291176	0.000649981290637469
iisa_B_ATAC	0.17384119947499	0.000766649428209298
eojr_B_ATAC	0.0867414482392406	0.00116894328945361
eojr_A_ATAC	0.124737469297415	0.000961559207794328
hiaf_B_ATAC	0.298788540520926	0.000318338528195782
hiaf_A_ATAC	0.457883012678274	0.000372700723958149
hiaf_D_ATAC	0.0874076657954767	0.0105827720575585
hiaf_C_ATAC	0.149337804017465	0.0190453583476316
kuxp_B_ATAC	0.1115765389909	0.00032931095404845
kuxp_A_ATAC	0.184310171223865	0.000421550339524221
kuxp_D_ATAC	0.188645298218458	0.0158105796001841
kuxp_C_ATAC	0.282432630438541	0.0213167283246041
podx_B_ATAC	0.247451684578225	0.000829570058028853
podx_A_ATAC	0.247203054667736	0.000368196952600316
podx_D_ATAC	0.278886251713605	0.0228918166713173
podx_C_ATAC	0.257138714384284	0.0290838998766952
xugn_B_ATAC	0.240965162084231	0.000367922324983187
xugn_A_ATAC	0.320240796648076	0.000313107689612844
xugn_D_ATAC	0.128462362140362	0.0163482404584137
xugn_C_ATAC	0.237052471642363	0.00929987531179221
oapg_B_ATAC	0.184631924630615	0.000585368283703459
oapg_A_ATAC	0.216085999272178	0.000490319317901218
oapg_D_ATAC	0.211976949581975	0.0211279140524034
oapg_C_ATAC	0.207037702179375	0.0368892785375201
pamv_B_ATAC	0.29796194795609	0.00039849122915256
pamv_A_ATAC	0.412453469639686	0.000376873440547507
pamv_D_ATAC	0.226667604999457	0.0173244983039854
pamv_C_ATAC	0.311456127713303	0.0102889428819658
eipl_B_ATAC	0.29018369859858	0.000388012987828789
eipl_A_ATAC	0.341614641660554	0.000439695328763906
eipl_D_ATAC	0.13988117725185	0.0138092872090172
eipl_C_ATAC	0.24211515350234	0.0329294102754903
febc_B_ATAC	0.513236282960545	0.000582745124578013
febc_A_ATAC	0.413248558161457	0.000350697325830057
febc_D_ATAC	0.400115313238623	0.059561858207935
febc_C_ATAC	0.273667097513622	0.0453027769105282
heja_B_ATAC	0.184572803349404	0.000950207683566725
heja_A_ATAC	0.23255571295915	0.00112033210173269
heja_D_ATAC	0.114173433891483	0.0192877894132227
heja_C_ATAC	0.190527961077919	0.0274574998139786
pelm_B_ATAC	0.256165852110404	0.000602397251057115
pelm_A_ATAC	0.303435846229563	0.000283603137080134
pelm_D_ATAC	0.141307760306748	0.0136457058085817
pelm_C_ATAC	0.187298464160542	0.0218641923064432
babk_A_ATAC	0.602750025977492	0.00296976178550688
babk_B_ATAC	0.384335124242987	0.00147747497138587
babk_C_ATAC	0.432009365516306	0.177533652134861
babk_D_ATAC	0.456376650921142	0.198369223818401
coyi_A_ATAC	0.454786044950166	0.000331591737722552
coyi_B_ATAC	0.431972785968389	0.000235991116847892
coyi_C_ATAC	0.591557755551567	0.0490582273367177
coyi_D_ATAC	0.385297241068573	0.0362573232457601
diku_A_ATAC	0.399982423921641	0.000250433628868972
diku_B_ATAC	0.32913631018396	0.00028489694587423
diku_C_ATAC	0.452097795781853	0.0323351529851966
diku_D_ATAC	0.193993747097176	0.0092569238066908
eiwy_A_ATAC	0.413593812020643	0.000628381856531097
eiwy_B_ATAC	0.400866154294839	0.000826755541294965
eiwy_C_ATAC	0.453135859795569	0.0420080372529238
eiwy_D_ATAC	0.302453957654079	0.0190789372237088
fafq_A_ATAC	0.463359111521379	0.000353454445034461
fafq_B_ATAC	0.50745305888954	0.000413466842735453
