sample_id	lanelet_id	sequencescape_id	sanger_id	diff_start	atac_date	accession	full_name
joxm_A_ATAC	16668_8#16	2310306	3226STDY6119528	2015-03-26	2015-05-13	SAMEA103884983	HPSI0114i-joxm_1 derived macrophage day 48 untreated
iisa_A_ATAC	16668_8#25	2310307	3226STDY6119529	2015-03-26	2015-05-13	SAMEA103885408	HPSI0114i-iisa_3 derived macrophage day 48 untreated
iisa_B_ATAC	16668_8#26	2310308	3226STDY6119530	2015-03-26	2015-05-13	SAMEA103885106	HPSI0114i-iisa_3 derived macrophage day 48 with IFNg
eojr_B_ATAC	16668_8#27	2310309	3226STDY6119531	2015-03-30	2015-05-13	SAMEA103885104	HPSI0613i-eojr_3 derived macrophage day 44 with IFNg
eojr_A_ATAC	16668_8#28	2310310	3226STDY6119532	2015-03-30	2015-05-13	SAMEA103885185	HPSI0613i-eojr_3 derived macrophage day 44 untreated
hiaf_B_ATAC	17675_5#1	2390572	3226STDY6190062	2015-06-18	2015-07-22	SAMEA103885388	HPSI1013i-hiaf_2 derived macrophage day 34 with IFNg
hiaf_A_ATAC	17675_5#2	2390573	3226STDY6190063	2015-06-18	2015-07-22	SAMEA103885081	HPSI1013i-hiaf_2 derived macrophage day 34 untreated
hiaf_D_ATAC	17675_5#3	2390574	3226STDY6190064	2015-06-18	2015-07-22	SAMEA103885275	HPSI1013i-hiaf_2 derived macrophage day 34 with salmonella and IFNg
hiaf_C_ATAC	17675_5#4	2390575	3226STDY6190065	2015-06-18	2015-07-22	SAMEA103885016	HPSI1013i-hiaf_2 derived macrophage day 34 with salmonella
kuxp_B_ATAC	17675_5#5	2390576	3226STDY6190066	2015-06-21	2015-07-22	SAMEA103885255	HPSI1013i-kuxp_1 derived macrophage day 31 with IFNg
kuxp_A_ATAC	17675_5#6	2390577	3226STDY6190067	2015-06-21	2015-07-22	SAMEA103885017	HPSI1013i-kuxp_1 derived macrophage day 31 untreated
kuxp_D_ATAC	17675_5#7	2390578	3226STDY6190068	2015-06-21	2015-07-22	SAMEA103885101	HPSI1013i-kuxp_1 derived macrophage day 31 with salmonella and IFNg
kuxp_C_ATAC	17675_5#8	2390579	3226STDY6190069	2015-06-21	2015-07-22	SAMEA103884990	HPSI1013i-kuxp_1 derived macrophage day 31 with salmonella
podx_B_ATAC	17675_5#9	2390580	3226STDY6190070	2015-06-26	2015-07-22	SAMEA103884919	HPSI1113i-podx_1 derived macrophage day 26 with IFNg
podx_A_ATAC	17675_5#10	2390581	3226STDY6190071	2015-06-26	2015-07-22	SAMEA103885111	HPSI1113i-podx_1 derived macrophage day 26 untreated
podx_D_ATAC	17675_5#11	2390582	3226STDY6190072	2015-06-26	2015-07-22	SAMEA103885021	HPSI1113i-podx_1 derived macrophage day 26 with salmonella and IFNg
podx_C_ATAC	17675_5#12	2390583	3226STDY6190073	2015-06-26	2015-07-22	SAMEA103885276	HPSI1113i-podx_1 derived macrophage day 26 with salmonella
xugn_B_ATAC	17675_5#13	2390584	3226STDY6190074	2015-06-11	2015-07-22	SAMEA103884890	HPSI0314i-xugn_1 derived macrophage day 41 with IFNg
xugn_A_ATAC	17675_5#14	2390585	3226STDY6190075	2015-06-11	2015-07-22	SAMEA103885286	HPSI0314i-xugn_1 derived macrophage day 41 untreated
xugn_D_ATAC	17675_5#15	2390586	3226STDY6190076	2015-06-11	2015-07-22	SAMEA103885013	HPSI0314i-xugn_1 derived macrophage day 41 with salmonella and IFNg
xugn_C_ATAC	17675_5#16	2390587	3226STDY6190077	2015-06-11	2015-07-22	SAMEA103885173	HPSI0314i-xugn_1 derived macrophage day 41 with salmonella
oapg_B_ATAC	17675_5#17	2390588	3226STDY6190078	2015-06-21	2015-07-31	SAMEA103884894	HPSI0913i-oapg_5 derived macrophage day 40 with IFNg
oapg_A_ATAC	17675_5#18	2390589	3226STDY6190079	2015-06-21	2015-07-31	SAMEA103885341	HPSI0913i-oapg_5 derived macrophage day 40 untreated
oapg_D_ATAC	17675_5#19	2390590	3226STDY6190080	2015-06-21	2015-07-31	SAMEA103885137	HPSI0913i-oapg_5 derived macrophage day 40 with salmonella and IFNg
oapg_C_ATAC	17675_5#20	2390591	3226STDY6190081	2015-06-21	2015-07-31	SAMEA103885374	HPSI0913i-oapg_5 derived macrophage day 40 with salmonella
pamv_B_ATAC	17675_5#21	2390592	3226STDY6190082	2015-07-01	2015-07-31	SAMEA103884920	HPSI1013i-pamv_3 derived macrophage day 30 with IFNg
pamv_A_ATAC	17675_5#22	2390593	3226STDY6190083	2015-07-01	2015-07-31	SAMEA103885329	HPSI1013i-pamv_3 derived macrophage day 30 untreated
pamv_D_ATAC	17675_5#23	2390594	3226STDY6190084	2015-07-01	2015-07-31	SAMEA103885113	HPSI1013i-pamv_3 derived macrophage day 30 with salmonella and IFNg
pamv_C_ATAC	17675_5#24	2390595	3226STDY6190085	2015-07-01	2015-07-31	SAMEA103885252	HPSI1013i-pamv_3 derived macrophage day 30 with salmonella
eipl_B_ATAC	17675_5#25	2390596	3226STDY6190086	2015-06-30	2015-08-04	SAMEA103885339	HPSI0114i-eipl_1 derived macrophage day 35 with IFNg
eipl_A_ATAC	17675_5#26	2390597	3226STDY6190087	2015-06-30	2015-08-04	SAMEA103885293	HPSI0114i-eipl_1 derived macrophage day 35 untreated
eipl_D_ATAC	17675_5#27	2390598	3226STDY6190088	2015-06-30	2015-08-04	SAMEA103885207	HPSI0114i-eipl_1 derived macrophage day 35 with salmonella and IFNg
eipl_C_ATAC	17675_5#28	2390599	3226STDY6190089	2015-06-30	2015-08-04	SAMEA103885189	HPSI0114i-eipl_1 derived macrophage day 35 with salmonella
febc_B_ATAC	17675_5#29	2390600	3226STDY6190090	2015-07-06	2015-08-04	SAMEA103885403	HPSI0613i-febc_2 derived macrophage day 29 with IFNg
febc_A_ATAC	17675_5#30	2390601	3226STDY6190091	2015-07-06	2015-08-04	SAMEA103885069	HPSI0613i-febc_2 derived macrophage day 29 untreated
febc_D_ATAC	17675_5#31	2390602	3226STDY6190092	2015-07-06	2015-08-04	SAMEA103885100	HPSI0613i-febc_2 derived macrophage day 29 with salmonella and IFNg
febc_C_ATAC	17675_5#32	2390603	3226STDY6190093	2015-07-06	2015-08-04	SAMEA103885394	HPSI0613i-febc_2 derived macrophage day 29 with salmonella
heja_B_ATAC	17675_5#33	2390604	3226STDY6190094	2015-06-29	2015-08-12	SAMEA103885280	HPSI0214i-heja_1 derived macrophage day 44 with IFNg
heja_A_ATAC	17675_5#34	2390605	3226STDY6190095	2015-06-29	2015-08-12	SAMEA103884892	HPSI0214i-heja_1 derived macrophage day 44 untreated
heja_D_ATAC	17675_5#35	2390606	3226STDY6190096	2015-06-29	2015-08-12	SAMEA103885179	HPSI0214i-heja_1 derived macrophage day 44 with salmonella and IFNg
heja_C_ATAC	17675_5#36	2390607	3226STDY6190097	2015-06-29	2015-08-12	SAMEA103885352	HPSI0214i-heja_1 derived macrophage day 44 with salmonella
pelm_B_ATAC	17675_5#37	2390608	3226STDY6190098	2015-07-03	2015-08-12	SAMEA103885148	HPSI0214i-pelm_3 derived macrophage day 40 with IFNg
pelm_A_ATAC	17675_5#38	2390609	3226STDY6190099	2015-07-03	2015-08-12	SAMEA103885343	HPSI0214i-pelm_3 derived macrophage day 40 untreated
pelm_D_ATAC	17675_5#39	2390610	3226STDY6190100	2015-07-03	2015-08-12	SAMEA103884999	HPSI0214i-pelm_3 derived macrophage day 40 with salmonella and IFNg
pelm_C_ATAC	17675_5#40	2390611	3226STDY6190101	2015-07-03	2015-08-12	SAMEA103885075	HPSI0214i-pelm_3 derived macrophage day 40 with salmonella
babk_A_ATAC	18913_1#11	2484203	3226STDY6277619	2015-10-12	2015-12-04	SAMEA103885125	HPSI1213i-babk_2 derived macrophage replicate 1 day 53 untreated
babk_B_ATAC	18913_1#2	2484202	3226STDY6277618	2015-10-12	2015-12-04	SAMEA103885304	HPSI1213i-babk_2 derived macrophage replicate 1 day 53 with IFNg
babk_C_ATAC	18913_1#29	2484205	3226STDY6277621	2015-10-12	2015-12-04	SAMEA103884985	HPSI1213i-babk_2 derived macrophage replicate 1 day 53 with salmonella
babk_D_ATAC	18913_1#20	2484204	3226STDY6277620	2015-10-12	2015-12-04	SAMEA103885383	HPSI1213i-babk_2 derived macrophage replicate 1 day 53 with salmonella and IFNg
coyi_A_ATAC	18913_1#15	2484163	3226STDY6277579	2015-09-30	2015-11-05	SAMEA103885385	HPSI0913i-coyi_3 derived macrophage day 36 untreated
coyi_B_ATAC	18913_1#6	2484162	3226STDY6277578	2015-09-30	2015-11-05	SAMEA103884883	HPSI0913i-coyi_3 derived macrophage day 36 with IFNg
coyi_C_ATAC	18913_1#33	2484165	3226STDY6277581	2015-09-30	2015-11-05	SAMEA103885145	HPSI0913i-coyi_3 derived macrophage day 36 with salmonella
coyi_D_ATAC	18913_1#24	2484164	3226STDY6277580	2015-09-30	2015-11-05	SAMEA103885220	HPSI0913i-coyi_3 derived macrophage day 36 with salmonella and IFNg
diku_A_ATAC	18913_1#17	2484179	3226STDY6277595	2015-10-15	2015-11-13	SAMEA103885102	HPSI0913i-diku_1 derived macrophage day 29 untreated
diku_B_ATAC	18913_1#8	2484178	3226STDY6277594	2015-10-15	2015-11-13	SAMEA103885347	HPSI0913i-diku_1 derived macrophage day 29 with IFNg
diku_C_ATAC	18913_1#35	2484181	3226STDY6277597	2015-10-15	2015-11-13	SAMEA103885043	HPSI0913i-diku_1 derived macrophage day 29 with salmonella
diku_D_ATAC	18913_1#26	2484180	3226STDY6277596	2015-10-15	2015-11-13	SAMEA103885392	HPSI0913i-diku_1 derived macrophage day 29 with salmonella and IFNg
eiwy_A_ATAC	18913_1#45	2484199	3226STDY6277615	2015-10-23	2015-12-02	SAMEA103885182	HPSI0214i-eiwy_1 derived macrophage day 40 untreated
eiwy_B_ATAC	18913_1#37	2484198	3226STDY6277614	2015-10-23	2015-12-02	SAMEA103885136	HPSI0214i-eiwy_1 derived macrophage day 40 with IFNg
eiwy_C_ATAC	18913_1#61	2484201	3226STDY6277617	2015-10-23	2015-12-02	SAMEA103885413	HPSI0214i-eiwy_1 derived macrophage day 40 with salmonella
eiwy_D_ATAC	18913_1#53	2484200	3226STDY6277616	2015-10-23	2015-12-02	SAMEA103884967	HPSI0214i-eiwy_1 derived macrophage day 40 with salmonella and IFNg
fafq_A_ATAC	18913_1#13	2484147	3226STDY6277563	2015-09-16	2015-10-14	SAMEA103884994	HPSI0314i-fafq_1 derived macrophage day 28 untreated
fafq_B_ATAC	18913_1#4	2484146	3226STDY6277562	2015-09-16	2015-10-14	SAMEA103885320	HPSI0314i-fafq_1 derived macrophage day 28 with IFNg
