sample_id	lanelet_id	sequencescape_id	sanger_id	diff_start	acLDL_date	accession	full_name
VOAS_24h_Ctrl	15798_3#17	2232843	VOAS_24h_Ctrl	2014-10-16	2014-11-20	SAMEA103884908	HPSI0813i-voas_2 derived macrophage day 35 untreated
ZUTA_24h_AcLDL	15798_6#4	2232848	VORX_24h_AcLDL	2014-10-20	2014-11-06	SAMEA103885410	HPSI1113i-zuta_1 derived macrophage day 17 with LDL
ZUTA_24h_Ctrl	15798_6#3	2232847	VORX_24h_Ctrl	2014-10-20	2014-11-06	SAMEA103885037	HPSI1113i-zuta_1 derived macrophage day 17 untreated
XEGX_24h_AcLDL	15798_6#18	2232862	XEGX_24h_AcLDL	2014-11-04	2014-12-15	SAMEA103885202	HPSI0513i-xegx_2 derived macrophage day 41 with LDL
XEGX_24h_Ctrl	15798_6#17	2232861	XEGX_24h_Ctrl	2014-11-04	2014-12-15	SAMEA103884995	HPSI0513i-xegx_2 derived macrophage day 41 untreated
VORX_24h_AcLDL	15798_3#2	2232828	ZUTA_24h_AcLDL	2014-10-10	2014-11-20	SAMEA103884872	HPSI0613i-vorx_1 derived macrophage day 41 with LDL
VORX_24h_Ctrl	15798_3#1	2232827	ZUTA_24h_Ctrl	2014-10-10	2014-11-20	SAMEA103884993	HPSI0613i-vorx_1 derived macrophage day 41 untreated
BUBH_24h_AcLDL	16437_5#2	2288275	IPSC-M-CV6101099	2015-02-23	2015-03-31	SAMEA103885311	HPSI0314i-bubh_1 derived macrophage day 36 with LDL
BUBH_24h_Ctrl	16437_5#1	2288274	IPSC-M-CV6101098	2015-02-23	2015-03-31	SAMEA103885115	HPSI0314i-bubh_1 derived macrophage day 36 untreated
CUPS_24h_AcLDL	16437_5#4	2288277	IPSC-M-CV6101101	2015-02-27	2015-04-14	SAMEA103885103	HPSI1013i-cups_3 derived macrophage day 46 with LDL
CUPS_24h_Ctrl	16493_3#3	2288276	IPSC-M-CV6101100	2015-02-27	2015-04-14	SAMEA103884895	HPSI1013i-cups_3 derived macrophage day 46 untreated
OUGL_24h_AcLDL	16437_5#6	2288279	IPSC-M-CV6101103	2015-02-01	2015-03-17	SAMEA103884964	HPSI0413i-ougl_3 derived macrophage replicate 2 day 44 with LDL
OUGL_24h_Ctrl	16437_5#5	2288278	IPSC-M-CV6101102	2015-02-01	2015-03-17	SAMEA103885170	HPSI0413i-ougl_3 derived macrophage replicate 2 day 44 untreated
EIKA_24h_AcLDL	16437_5#18	2288291	IPSC-M-CV6101115	2015-03-05	2015-04-16	SAMEA103885315	HPSI0913i-eika_2 derived macrophage day 42 with LDL
EIKA_24h_Ctrl	16437_5#17	2288290	IPSC-M-CV6101114	2015-03-05	2015-04-16	SAMEA103885159	HPSI0913i-eika_2 derived macrophage day 42 untreated
