sample	donor	flow_date	mean1	mean2	sigmasq1	sigmasq2	channel	purity
aipt_160614	aipt	2014-06-16	1.05330172647737	3.33695574386454	0.0583051060947461	0.0682909039451977	APC.A	0.986202254753492
aipt_160614	aipt	2014-06-16	1.09207101825694	2.14529191532264	0.0772272379746232	0.19777330362359	PE.A	0.988389702170621
aipt_160614	aipt	2014-06-16	1.14272089457651	2.8431209341548	0.0428686302271895	0.0249128926498257	Pacific.Blue.A	0.995288574793875
aipt_200614	aipt	2014-06-20	0.923746866816328	3.12971473958283	0.0553186281527536	0.0935682005001026	APC.A	0.990242682011509
aipt_200614	aipt	2014-06-20	0.707573558530893	1.9036274043748	0.162088112976323	0.364195225519106	PE.A	0.991743807855892
aipt_200614	aipt	2014-06-20	1.05395114077341	2.75708690474896	0.0494002513531374	0.0296216962293601	Pacific.Blue.A	0.994996247185389
auim_181114	auim	2014-11-18	1.73592315833643	2.73814316342601	0.127114817581393	0.0524469141308121	APC.A	0.964926590538336
auim_181114	auim	2014-11-18	2.13846999676475	2.37782241672137	0.265156217772563	0.0813359860551806	PE.A	0.985114192495922
auim_181114	auim	2014-11-18	1.77866345545718	2.37768431717718	0.133215857038993	0.0203549645826784	Pacific.Blue.A	0.843189233278956
auim_211114	auim	2014-11-21	1.15774229941396	2.89896978051104	0.0590271310455804	0.041070556708737	APC.A	0.992391663910023
auim_211114	auim	2014-11-21	1.22641189872846	1.67758788358766	0.0606738492261594	0.26834993155429	PE.A	0.999834601389348
auim_211114	auim	2014-11-21	1.43048866840463	2.58493566960318	0.0668550474161065	0.0827254003759015	Pacific.Blue.A	0.986768111147866
babk_161214	babk	2014-12-16	1.19537065077482	2.82750053330782	0.0633052383752968	0.0425740224393443	APC.A	0.96815103040784
babk_161214	babk	2014-12-16	1.21613600417737	2.96231098509604	0.050257918155642	0.143052554950573	PE.A	0.972618532929817
babk_161214	babk	2014-12-16	1.39778612733467	2.58913626079426	0.0561852298624796	0.0481363877842661	Pacific.Blue.A	0.965845222654561
babk_271115	babk	2015-11-27	1.70684800844253	2.27615892744696	0.0939306017443835	0.0505782161134743	APC.A	0.973270440251572
babk_271115	babk	2015-11-27	1.21951325447336	3.23448713580308	0.0605121021415969	0.108635377346069	PE.A	0.973427672955975
babk_271115	babk	2015-11-27	1.82555340563274	2.71370583164756	0.0656738458811538	0.0446468428287988	Pacific.Blue.A	0.967610062893082
bezi_050815	bezi	2015-08-05	1.26060076987505	2.73000280327532	0.0727742757649073	0.056324854842828	APC.A	0.941883059530118
bezi_050815	bezi	2015-08-05	1.20019761081234	3.05037665318739	0.0624783191790655	0.0957496693530998	PE.A	0.937113584172408
bezi_050815	bezi	2015-08-05	1.67442125969918	3.09834043330669	0.0472822442786543	0.0266741413935625	Pacific.Blue.A	0.944709415297651
bezi_210715	bezi	2015-07-21	1.11935851743173	2.23162832046539	0.0770020193133473	0.068245558998996	APC.A	0.971799746514575
bezi_210715	bezi	2015-07-21	1.220324508806	2.8241745206625	0.0692910684282847	0.160195842081312	PE.A	0.969264892268695
bezi_210715	bezi	2015-07-21	1.28515016030171	2.6283506844939	0.0701118975491538	0.0278330411966278	Pacific.Blue.A	0.972750316856781
bezi_300715	bezi	2015-07-30	1.10309431133039	2.72164953307306	0.0585709697998544	0.0636278292648284	APC.A	0.95574144486692
bezi_300715	bezi	2015-07-30	1.21170620907417	2.65925082991234	0.0791516764739325	0.13781817810765	PE.A	0.950722433460076
bezi_300715	bezi	2015-07-30	1.29403842722845	2.78541124619514	0.0425864894513562	0.0265274819930669	Pacific.Blue.A	0.959239543726236
bima_161214	bima	2014-12-16	1.25898760276534	2.78479839978458	0.0537699893173442	0.0315068693687353	APC.A	0.988939959781672
bima_161214	bima	2014-12-16	1.20846772151797	2.18682224494686	0.0463737073933563	0.114247909776785	PE.A	0.981614478598104
bima_161214	bima	2014-12-16	1.40263201494178	2.30123718626069	0.048545213772968	0.055090444775643	Pacific.Blue.A	0.98448721631715
bubh_130415	bubh	2015-04-13	1.15083716360721	2.43621486662524	0.198457526874242	0.0296679311189627	APC.A	0.779796264855688
bubh_130415	bubh	2015-04-13	1.33865453705908	3.682562675532	0.141198898994216	0.0884647352432903	PE.A	0.810865874363328
bubh_130415	bubh	2015-04-13	1.46393830889017	2.89170360606998	0.151212776349924	0.0263755422057209	Pacific.Blue.A	0.814091680814941
bulb_161214	bulb	2014-12-16	1.97315375581779	2.6876467784275	0.0376859102241273	0.0179840384805302	APC.A	0.906439570695287
bulb_161214	bulb	2014-12-16	1.68389633320636	2.51893080094276	0.05842918446003	0.076555055591987	PE.A	0.910405972935138
bulb_161214	bulb	2014-12-16	1.89447369548338	2.6817497907186	0.0403785009092129	0.0148716072757623	Pacific.Blue.A	0.892673821745217
cehw_181114	cehw	2014-11-18	1.11828447225456	2.56348352432556	0.069139812698854	0.0895984586045813	APC.A	0.965146865409908
cehw_181114	cehw	2014-11-18	1.64001262989672	3.58348175651411	0.0619487407094215	0.140057117928575	PE.A	0.958132398071021
cehw_181114	cehw	2014-11-18	1.14358356755474	2.37817051682807	0.059044401883849	0.0409668154732616	Pacific.Blue.A	0.957474791758001
cicb_230415	cicb	2015-04-23	1.15346291557138	2.79000533895913	0.0775062230471373	0.0456266404152635	APC.A	0.984043377226956
cicb_230415	cicb	2015-04-23	1.13376946279456	2.26621527038262	0.0851321054374236	0.193470101079141	PE.A	0.971804802478699
