sample_id	lanelet_id	sequencescape_id	sanger_id
SUKZ_24h_AcLDL	16823_2#6	2309496	IPSC-M-CV6118850
VEQZ_24h_Ctrl	16823_2#7	2309497	IPSC-M-CV6118851
VEQZ_24h_AcLDL	16823_2#8	2309498	IPSC-M-CV6118852
XUCM_24h_Ctrl	16823_2#9	2309499	IPSC-M-CV6118853
XUCM_24h_AcLDL	16823_2#10	2309500	IPSC-M-CV6118854
BEZI_24h_AcLDL	18017_1#2	2390631	IPSC-M-CV6190105
BEZI_24h_Ctrl	18079_1#1	2390630	IPSC-M-CV6190104
EIPL_24h_AcLDL	18017_1#4	2390633	IPSC-M-CV6190107
EIPL_24h_Ctrl	18017_1#3	2390632	IPSC-M-CV6190106
FEBC_24h_AcLDL	18017_1#6	2390635	IPSC-M-CV6190109
FEBC_24h_Ctrl	18017_1#5	2390634	IPSC-M-CV6190108
HEJA_24h_AcLDL	18017_1#8	2390637	IPSC-M-CV6190111
HEJA_24h_Ctrl	18017_1#7	2390636	IPSC-M-CV6190110
HIAF_24h_AcLDL	18017_1#20	2390649	IPSC-M-CV6190123
HIAF_24h_Ctrl	18017_1#19	2390648	IPSC-M-CV6190122
KUXP_24h_AcLDL	18017_1#22	2390651	IPSC-M-CV6190125
KUXP_24h_Ctrl	18017_1#21	2390650	IPSC-M-CV6190124
NEMB_24h_AcLDL	18017_1#14	2390643	IPSC-M-CV6190117
NEMB_24h_Ctrl	18017_1#13	2390642	IPSC-M-CV6190116
OAPG_24h_AcLDL	18017_1#16	2390645	IPSC-M-CV6190119
OAPG_24h_Ctrl	18017_1#15	2390644	IPSC-M-CV6190118
PAMV_24h_AcLDL	18017_1#18	2390647	IPSC-M-CV6190121
PAMV_24h_Ctrl	18017_1#17	2390646	IPSC-M-CV6190120
PELM_24h_AcLDL	18017_1#10	2390639	IPSC-M-CV6190113
PELM_24h_Ctrl	18017_1#9	2390638	IPSC-M-CV6190112
PODX_24h_AcLDL	18017_1#12	2390641	IPSC-M-CV6190115
PODX_24h_Ctrl	18017_1#11	2390640	IPSC-M-CV6190114
XUGN_24h_AcLDL	18017_1#24	2390653	IPSC-M-CV6190127
XUGN_24h_Ctrl	18017_1#23	2390652	IPSC-M-CV6190126
OEVR_24h_Ctrl	18640_1#1	2477286	IPSC-M-CV6270835
OEVR_24h_AcLDL	18640_1#2	2477287	IPSC-M-CV6270836
FAFQ_24h_Ctrl	18640_1#3	2477288	IPSC-M-CV6270837
FAFQ_24h_AcLDL	18640_1#4	2477289	IPSC-M-CV6270838
HAYT_24h_Ctrl	18640_1#5	2477290	IPSC-M-CV6270839
HAYT_24h_AcLDL	18640_1#6	2477291	IPSC-M-CV6270840
IILL_24h_Ctrl	18640_1#20	2477292	IPSC-M-CV6270841
IILL_24h_AcLDL	18640_1#7	2477293	IPSC-M-CV6270842
SOJD_24h_Ctrl	18640_1#8	2477294	IPSC-M-CV6270843
SOJD_24h_AcLDL	18640_1#9	2477295	IPSC-M-CV6270844
DIKU_24h_Ctrl	18640_1#10	2477296	IPSC-M-CV6270845
DIKU_24h_AcLDL	18640_1#11	2477297	IPSC-M-CV6270846
GUSS_24h_Ctrl	18640_1#12	2477298	IPSC-M-CV6270847
GUSS_24h_AcLDL	18640_1#13	2477299	IPSC-M-CV6270848
QAQX_24h_Ctrl	18640_1#14	2477300	IPSC-M-CV6270849
QAQX_24h_AcLDL	18640_1#15	2477301	IPSC-M-CV6270850
ZAUI_24h_Ctrl	18640_1#16	2477302	IPSC-M-CV6270851
ZAUI_24h_AcLDL	18640_1#17	2477303	IPSC-M-CV6270852
EIWY_24h_Ctrl	18640_1#18	2477304	IPSC-M-CV6270853
EIWY_24h_AcLDL	18640_1#19	2477305	IPSC-M-CV6270854
NUKW_24h_Ctrl	18640_5#1	2477306	IPSC-M-CV6270855
NUKW_24h_AcLDL	18640_5#2	2477307	IPSC-M-CV6270856
FIKT_24h_Ctrl	18640_5#5	2477310	IPSC-M-CV6270859
FIKT_24h_AcLDL	18640_5#6	2477311	IPSC-M-CV6270860
COYI_24h_Ctrl	18640_5#8	2477314	IPSC-M-CV6270863
COYI_24h_AcLDL	18640_5#9	2477315	IPSC-M-CV6270864
HEHD_24h_Ctrl	18640_5#12	2477318	IPSC-M-CV6270867
HEHD_24h_AcLDL	18640_5#13	2477319	IPSC-M-CV6270868
QOLG_24h_Ctrl	18640_5#16	2477322	IPSC-M-CV6270871
QOLG_24h_AcLDL	18640_5#17	2477323	IPSC-M-CV6270872
