line_id,replicate,ips_received,ips_started,passage_received,received_as,media,EB_formation,passage_diff,diff_start,MF_harvest,salmonella,flow_date,medium_changes,terminated,extraction_date,rna_submit,library_pool,status,comment
kaks_3,1,,17/09/2014,37,alive,KSR,22/09/2014,38,26/09/2014,15/10/2014,22/10/2014,11/11/2014,8,14/11/2014,15/11/2014,18/11/2014,3226_RNA-3_191114,Success,
peop_2,1,,19/02/2014,23,alive,KSR,27/02/2014,25,03/03/2014,26/05/2014,03/06/2014,20/05/2014,20,13/06/2014,06/06/2014,18/11/2014,3226_RNA-1_191114,Success,
qanu_2,1,,06/05/2014,28,alive,KSR,10/05/2014,29,14/05/2014,08/06/2014,14/06/2014,20/06/2014,6,26/06/2014,09/07/2014,18/11/2014,3226_RNA-1_191114,Success,
qimz_1,1,,12/05/2014,26,alive,KSR,17/05/2014,27,21/05/2014,09/07/2014,15/07/2014,01/07/2014,8,16/07/2014,15/07/2014,18/11/2014,3226_RNA-2_191114,Success,
yuze_1,1,,03/07/2014,53,alive,KSR,08/07/2014,54,11/07/2014,14/08/2014,22/08/2014,28/08/2014,10,09/09/2014,08/09/2014,18/11/2014,3226_RNA-2_191114,Success,
zisa_3,1,,12/05/2014,29,alive,KSR,18/05/2014,30,22/05/2014,09/07/2014,15/07/2014,01/07/2014,8,15/07/2014,15/07/2014,18/11/2014,3226_RNA-1_191114,Success,
cehw_3,1,,01/10/2014,33,alive,KSR,07/10/2014,34,11/10/2014,14/11/2014,20/11/2014,18/11/2014,9,27/11/2014,25/11/2014,09/12/2014,3226_RNAseq-1_111214,Success,
coio_2,1,,01/10/2014,38,alive,KSR,07/10/2014,39,11/10/2014,14/11/2014,20/11/2014,18/11/2014,9,27/11/2014,25/11/2014,09/12/2014,3226_RNAseq-2_111214,Success,
cuau_2,1,,17/09/2014,37,alive,KSR,23/09/2014,38,27/09/2014,14/11/2014,20/11/2014,29/10/2014,11,25/11/2014,25/11/2014,09/12/2014,3226_RNAseq-1_111214,Success,
darw_2,1,17/09/2014,17/09/2014,37,alive,KSR,24/09/2014,38,28/09/2014,30/10/2014,05/11/2014,29/10/2014,13,25/11/2014,06/11/2014,09/12/2014,3226_RNAseq-1_111214,Success,
