sample_id	lanelet_id	sequencescape_id	sanger_id
jorr_A	16596_2#10	2287969	3226STDY6100814
jorr_B	16596_2#11	2287970	3226STDY6100815
jorr_C	16596_2#12	2287971	3226STDY6100816
jorr_D	16596_2#13	2287972	3226STDY6100817
bima_A	16596_2#14	2287973	3226STDY6100818
bima_B	16596_2#15	2287974	3226STDY6100819
bima_C	16596_2#16	2287975	3226STDY6100820
bima_D	16596_2#17	2287976	3226STDY6100821
euir_A	16596_2#18	2287977	3226STDY6100822
euir_B	16596_2#19	2287978	3226STDY6100823
euir_C	16667_1#20	2287979	3226STDY6100824
euir_D	16667_1#21	2287980	3226STDY6100825
auim_A	16596_2#22	2287981	3226STDY6100826
auim_B	16596_2#23	2287982	3226STDY6100827
auim_C	16596_2#24	2287983	3226STDY6100828
auim_D	16596_2#25	2287984	3226STDY6100829
meqo_A	16596_2#26	2287985	3226STDY6100830
meqo_B	16596_2#27	2287986	3226STDY6100831
meqo_C	16596_2#28	2287987	3226STDY6100832
meqo_D	16596_2#29	2287988	3226STDY6100833
cups_A	16596_2#30	2287989	3226STDY6100834
cups_B	16596_2#31	2287990	3226STDY6100835
cups_C	16667_1#32	2287991	3226STDY6100836
cups_D	16596_2#33	2287992	3226STDY6100837
uimo_A	16596_2#34	2287993	3226STDY6100838
uimo_B	16596_2#35	2287994	3226STDY6100839
uimo_C	16596_2#36	2287995	3226STDY6100840
uimo_D	16596_2#37	2287996	3226STDY6100841
yemz_A	16596_2#38	2287997	3226STDY6100842
yemz_B	16596_2#39	2287998	3226STDY6100843
yemz_C	16596_2#40	2287999	3226STDY6100844
yemz_D	16596_2#41	2288000	3226STDY6100845
cicb_A	16596_2#42	2288001	3226STDY6100846
cicb_B	16596_2#43	2288002	3226STDY6100847
cicb_C	16596_2#44	2288003	3226STDY6100848
cicb_D	16596_2#45	2288004	3226STDY6100849
ieki_A	16596_2#46	2288005	3226STDY6100850
ieki_B	16596_2#47	2288006	3226STDY6100851
ieki_C	16596_2#48	2288007	3226STDY6100852
ieki_D	16596_2#49	2288008	3226STDY6100853
iicq_A	16596_2#50	2288009	3226STDY6100854
iicq_B	16596_2#51	2288010	3226STDY6100855
iicq_C	16596_2#52	2288011	3226STDY6100856
iicq_D	16596_2#53	2288012	3226STDY6100857
nibo_A	16596_2#54	2288013	3226STDY6100858
nibo_B	16596_2#55	2288014	3226STDY6100859
nibo_C	16596_2#56	2288015	3226STDY6100860
nibo_D	16596_2#57	2288016	3226STDY6100861
vass_A	16596_2#58	2288017	3226STDY6100862
vass_B	16596_2#59	2288018	3226STDY6100863
vass_C	16596_2#60	2288019	3226STDY6100864
vass_D	16596_2#61	2288020	3226STDY6100865
ougl_A_2	16667_1#62	2288021	3226STDY6100866
ougl_B_2	16596_2#63	2288022	3226STDY6100867
