Sample ID	User ID	Date 	Time 	ng/ul 	A260 	A280 	260/280 	260/230 	Constant 	Cursor Pos.	Cursor abs.	340 raw
zisa A	Default	7/15/2014	8:13 PM	91.74	2.293	1.126	2.04	1.98	40.00	230	1.159	-0.020
zisa B	Default	7/15/2014	8:14 PM	144.07	3.602	1.754	2.05	2.02	40.00	230	1.782	-0.008
zisa C	Default	7/15/2014	8:15 PM	112.12	2.803	1.379	2.03	2.02	40.00	230	1.387	-0.001
zisa D	Default	7/15/2014	8:16 PM	119.44	2.986	1.462	2.04	1.98	40.00	230	1.508	-0.001
hikj A	Default	7/15/2014	8:17 PM	157.29	3.932	1.919	2.05	2.09	40.00	230	1.881	-0.001
hikj B	Default	7/15/2014	8:17 PM	186.89	4.672	2.290	2.04	2.07	40.00	230	2.255	0.004
hikj C	Default	7/15/2014	8:18 PM	153.84	3.846	1.880	2.05	2.04	40.00	230	1.882	-0.007
hikj D	Default	7/15/2014	8:19 PM	156.20	3.905	1.900	2.05	2.07	40.00	230	1.886	-0.006
qimz A	Default	7/15/2014	8:20 PM	335.72	8.393	4.110	2.04	2.12	40.00	230	3.952	-0.004
qimz B	Default	7/15/2014	8:21 PM	342.45	8.561	4.196	2.04	2.13	40.00	230	4.026	-0.008
qimz C	Default	7/15/2014	8:21 PM	266.34	6.658	3.241	2.05	2.12	40.00	230	3.136	0.002
qimz D	Default	7/15/2014	8:22 PM	285.32	7.133	3.483	2.05	2.12	40.00	230	3.365	-0.001
