Sample ID	User ID	Date 	Time 	ng/ul 	A260 	A280 	260/280 	260/230 	Constant 	Cursor Pos.	Cursor abs.	340 raw
ffdm A	Default	12/4/2014	6:09 PM	35.21	0.880	0.423	2.08	2.01	40.00	230	0.439	-0.021
ffdm B	Default	12/4/2014	6:09 PM	110.82	2.770	1.333	2.08	2.16	40.00	230	1.284	-0.012
ffdm C	Default	12/4/2014	6:10 PM	31.79	0.795	0.392	2.03	1.63	40.00	230	0.489	0.006
ffdm D	Default	12/4/2014	6:11 PM	31.08	0.777	0.364	2.13	1.79	40.00	230	0.434	0.007
oeoo A	Default	12/4/2014	6:15 PM	70.49	1.762	0.874	2.02	2.13	40.00	230	0.827	-0.006
oeoo B	Default	12/4/2014	6:16 PM	50.07	1.252	0.604	2.07	1.91	40.00	230	0.655	0.007
oeoo C	Default	12/4/2014	6:17 PM	45.54	1.139	0.561	2.03	2.13	40.00	230	0.536	-0.032
oeoo D	Default	12/4/2014	6:17 PM	75.51	1.888	0.916	2.06	2.03	40.00	230	0.928	-0.007
