Sample ID	User ID	Date 	Time 	ng/ul 	A260 	A280 	260/280 	260/230 	Constant 	Cursor Pos.	Cursor abs.	340 raw
vass A	Default	4/27/2015	7:30 PM	149.19	3.730	1.774	2.10	2.14	40.00	230	1.742	0.003
vass B	Default	4/27/2015	7:31 PM	193.92	4.848	2.319	2.09	2.11	40.00	230	2.302	0.002
vass C	Default	4/27/2015	7:32 PM	57.73	1.443	0.669	2.16	1.83	40.00	230	0.787	-0.001
vass D	Default	4/27/2015	7:32 PM	84.35	2.109	0.996	2.12	2.01	40.00	230	1.049	-0.019
dium A	Default	4/27/2015	7:33 PM	42.20	1.055	0.490	2.16	2.13	40.00	230	0.496	-0.013
dium B	Default	4/27/2015	7:34 PM	90.07	2.252	1.076	2.09	2.16	40.00	230	1.040	-0.007
dium C	Default	4/27/2015	7:34 PM	37.78	0.944	0.449	2.10	1.80	40.00	230	0.525	-0.043
dium D	Default	4/27/2015	7:35 PM	57.70	1.443	0.696	2.07	1.98	40.00	230	0.728	-0.019
nusw A	Default	4/27/2015	7:36 PM	152.58	3.815	1.851	2.06	2.17	40.00	230	1.758	-0.009
nusw B	Default	4/27/2015	7:36 PM	151.26	3.782	1.828	2.07	2.17	40.00	230	1.745	-0.021
nusw C	Default	4/27/2015	7:37 PM	53.21	1.330	0.639	2.08	2.09	40.00	230	0.638	0.002
nusw D	Default	4/27/2015	7:38 PM	89.59	2.240	1.074	2.09	2.01	40.00	230	1.112	0.003
