Sample ID	User ID	Date 	Time 	ng/ul 	A260 	A280 	260/280 	260/230 	Constant 	Cursor Pos.	Cursor abs.	340 raw
pahc A	Default	5/16/2015	4:59 PM	259.83	6.496	3.162	2.05	2.15	40.00	230	3.015	-0.312
pahc B	Default	5/16/2015	5:00 PM	258.35	6.459	3.130	2.06	2.10	40.00	230	3.075	-0.285
pahc C	Default	5/16/2015	5:01 PM	214.79	5.370	2.588	2.08	2.16	40.00	230	2.488	-0.273
pahc D	Default	5/16/2015	5:02 PM	198.10	4.952	2.406	2.06	1.37	40.00	230	3.620	-0.289
wibj A	Default	5/16/2015	5:03 PM	173.21	4.330	2.112	2.05	2.14	40.00	230	2.023	-0.286
wibj B	Default	5/16/2015	5:04 PM	142.57	3.564	1.734	2.06	2.06	40.00	230	1.727	-0.284
wibj C	Default	5/16/2015	5:04 PM	163.32	4.083	1.998	2.04	2.08	40.00	230	1.965	-0.283
wibj D	Default	5/16/2015	5:05 PM	131.54	3.289	1.600	2.06	1.86	40.00	230	1.763	-0.250
xucm A	Default	5/16/2015	5:06 PM	252.16	6.304	3.060	2.06	2.10	40.00	230	3.002	-0.290
xucm B	Default	5/16/2015	5:06 PM	297.46	7.437	3.625	2.05	2.16	40.00	230	3.446	-0.281
xucm C	Default	5/16/2015	5:07 PM	114.98	2.874	1.386	2.07	1.95	40.00	230	1.475	-0.287
xucm D	Default	5/16/2015	5:08 PM	202.88	5.072	2.458	2.06	2.12	40.00	230	2.392	-0.292
