Sample ID	User ID	Date 	Time 	ng/ul 	A260 	A280 	260/280 	260/230 	Constant 	Cursor Pos.	Cursor abs.	340 raw
joxm A	Default	5/22/2015	5:58 PM	183.57	4.589	2.242	2.05	2.05	40.00	230	2.241	0.001
joxm B	Default	5/22/2015	5:58 PM	274.48	6.862	3.365	2.04	2.16	40.00	230	3.182	-0.002
joxm C	Default	5/22/2015	5:59 PM	197.48	4.937	2.393	2.06	2.03	40.00	230	2.433	0.004
joxm D	Default	5/22/2015	6:00 PM	231.35	5.784	2.801	2.07	2.10	40.00	230	2.760	-0.006
bubh A	Default	5/22/2015	6:01 PM	69.28	1.732	0.846	2.05	1.88	40.00	230	0.919	-0.009
bubh B	Default	5/22/2015	6:01 PM	192.75	4.819	2.333	2.07	1.87	40.00	230	2.574	0.001
bubh C	Default	5/22/2015	6:02 PM	89.73	2.243	1.089	2.06	1.68	40.00	230	1.334	-0.002
bubh D	Default	5/22/2015	6:02 PM	51.86	1.297	0.644	2.01	1.76	40.00	230	0.736	-0.001
iisa A	Default	5/22/2015	6:03 PM	254.16	6.354	3.080	2.06	1.61	40.00	230	3.953	-0.013
iisa B	Default	5/22/2015	6:04 PM	317.99	7.950	3.878	2.05	2.14	40.00	230	3.722	-0.004
iisa C	Default	5/22/2015	6:05 PM	205.19	5.130	2.508	2.05	1.88	40.00	230	2.734	-0.006
iisa D	Default	5/22/2015	6:05 PM	270.78	6.769	3.299	2.05	2.13	40.00	230	3.175	-0.002
