Sample ID	User ID	Date 	Time 	ng/ul 	A260 	A280 	260/280 	260/230 	Constant 	Cursor Pos.	Cursor abs.	340 raw
pelm A	Default	8/26/2015	6:03 PM	47.35	1.184	0.571	2.07	1.92	40.00	230	0.617	0.014
pelm B	Default	8/26/2015	6:06 PM	73.83	1.846	0.901	2.05	1.79	40.00	230	1.030	-0.021
pelm C	Default	8/26/2015	6:07 PM	51.50	1.288	0.636	2.03	1.52	40.00	230	0.845	-0.022
pelm D	Default	8/26/2015	6:07 PM	26.20	0.655	0.321	2.04	1.64	40.00	230	0.401	-0.023
nemb A	Default	8/26/2015	6:08 PM	161.10	4.027	1.968	2.05	1.86	40.00	230	2.170	-0.008
nemb B	Default	8/26/2015	6:09 PM	190.52	4.763	2.313	2.06	2.03	40.00	230	2.346	-0.011
nemb C	Default	8/26/2015	6:10 PM	133.58	3.339	1.620	2.06	2.12	40.00	230	1.577	-0.026
nemb D	Default	8/26/2015	6:11 PM	157.08	3.927	1.919	2.05	1.93	40.00	230	2.033	-0.020
