Sample ID	User ID	Date 	Time 	ng/ul 	A260 	A280 	260/280 	260/230 	Constant 	Cursor Pos.	Cursor abs.	340 raw
podx A	Default	8/14/2015	6:37 PM	114.47	2.862	1.385	2.07	2.08	40.00	230	1.377	0.042
podx B	Default	8/14/2015	6:39 PM	129.96	3.249	1.571	2.07	1.79	40.00	230	1.812	0.038
podx C	Default	8/14/2015	6:39 PM	47.59	1.190	0.596	2.00	1.69	40.00	230	0.703	0.032
podx D	Default	8/14/2015	6:40 PM	82.34	2.058	1.003	2.05	1.75	40.00	230	1.178	0.047
eipl A	Default	8/14/2015	6:41 PM	135.65	3.391	1.663	2.04	1.81	40.00	230	1.872	0.042
eipl B	Default	8/14/2015	6:42 PM	125.29	3.132	1.538	2.04	1.82	40.00	230	1.724	0.045
eipl C	Default	8/14/2015	6:43 PM	119.62	2.991	1.464	2.04	1.93	40.00	230	1.547	0.042
eipl D	Default	8/14/2015	6:43 PM	157.51	3.938	1.937	2.03	1.96	40.00	230	2.014	0.036
heja A	Default	8/14/2015	6:44 PM	43.61	1.090	0.547	1.99	1.89	40.00	230	0.577	0.045
heja B	Default	8/14/2015	6:45 PM	41.39	1.035	0.521	1.98	1.85	40.00	230	0.560	0.032
heja C	Default	8/14/2015	6:47 PM	109.52	2.738	1.345	2.04	2.08	40.00	230	1.319	0.034
heja D	Default	8/14/2015	6:47 PM	112.25	2.806	1.365	2.06	1.89	40.00	230	1.487	0.033
