Sample ID	User ID	Date 	Time 	ng/ul 	A260 	A280 	260/280 	260/230 	Constant 	Cursor Pos.	Cursor abs.	340 raw
peop A	Default	6/6/2014	2:07 PM	72.10	1.803	0.870	2.07	2.24	40.00	230	0.803	0.011
peop B	Default	6/6/2014	2:09 PM	113.82	2.846	1.377	2.07	1.88	40.00	230	1.515	0.016
peop C	Default	6/6/2014	2:11 PM	51.71	1.293	0.628	2.06	2.03	40.00	230	0.636	0.007
peop D	Default	6/6/2014	2:12 PM	41.32	1.033	0.508	2.03	2.23	40.00	230	0.463	0.008
ffdp A	Default	6/6/2014	2:13 PM	81.06	2.027	0.969	2.09	2.21	40.00	230	0.915	0.008
ffdp B	Default	6/6/2014	2:14 PM	162.00	4.050	1.973	2.05	2.13	40.00	230	1.901	0.011
ffdp C	Default	6/6/2014	2:15 PM	111.95	2.799	1.356	2.06	2.18	40.00	230	1.286	-0.039
ffdp D	Default	6/6/2014	2:16 PM	71.26	1.781	0.851	2.09	1.96	40.00	230	0.907	0.007
ougl C	Default	6/6/2014	2:17 PM	122.42	3.060	1.482	2.07	2.21	40.00	230	1.387	0.017
ougl D	Default	6/6/2014	2:18 PM	51.16	1.279	0.613	2.09	1.91	40.00	230	0.669	0.009
