Sample ID	User ID	Date 	Time 	ng/ul 	A260 	A280 	260/280 	260/230 	Constant 	Cursor Pos.	Cursor abs.	340 raw
bima A	Default	2/5/2015	6:53 PM	89.42	2.235	1.076	2.08	2.48	40.00	230	0.903	-0.015
bima B	Default	2/5/2015	6:54 PM	95.65	2.391	1.154	2.07	2.02	40.00	230	1.182	-0.028
bima C	Default	2/5/2015	6:55 PM	97.46	2.437	1.179	2.07	2.32	40.00	230	1.049	-0.021
bima D	Default	2/5/2015	6:56 PM	84.03	2.101	1.022	2.05	2.46	40.00	230	0.854	-0.041
jorr A	Default	2/5/2015	6:56 PM	140.00	3.500	1.717	2.04	1.89	40.00	230	1.852	-0.017
jorr B	Default	2/5/2015	6:57 PM	222.41	5.560	2.716	2.05	1.91	40.00	230	2.910	-0.036
jorr C	Default	2/5/2015	6:58 PM	134.64	3.366	1.682	2.00	2.21	40.00	230	1.524	-0.041
jorr D	Default	2/5/2015	6:58 PM	142.16	3.554	1.743	2.04	2.32	40.00	230	1.530	-0.029
eofe A	Default	2/5/2015	6:59 PM	19.44	0.486	0.246	1.97	1.71	40.00	230	0.284	-0.029
eofe B	Default	2/5/2015	7:00 PM	34.49	0.862	0.416	2.07	3.38	40.00	230	0.255	-0.034
eofe C	Default	2/5/2015	7:01 PM	24.78	0.620	0.321	1.93	2.33	40.00	230	0.266	-0.035
eofe D	Default	2/5/2015	7:01 PM	19.66	0.492	0.253	1.94	1.83	40.00	230	0.269	-0.017
