Sample ID	User ID	Date 	Time 	ng/ul 	A260 	A280 	260/280 	260/230 	Constant 	Cursor Pos.	Cursor abs.	340 raw
zuta A	Default	11/25/2014	4:59 PM	300.16	7.504	3.661	2.05	2.05	40.00	230	3.655	-0.003
zuta B	Default	11/25/2014	5:00 PM	344.67	8.617	4.214	2.04	2.12	40.00	230	4.058	0.011
zuta C	Default	11/25/2014	5:01 PM	227.34	5.683	2.766	2.05	1.81	40.00	230	3.132	-0.004
zuta D	Default	11/25/2014	5:02 PM	259.93	6.498	3.162	2.05	1.97	40.00	230	3.302	0.001
cuau A	Default	11/25/2014	5:03 PM	168.02	4.200	2.058	2.04	2.04	40.00	230	2.063	0.002
cuau B	Default	11/25/2014	5:03 PM	290.79	7.270	3.532	2.06	1.71	40.00	230	4.253	0.028
cuau C	Default	11/25/2014	5:04 PM	56.72	1.418	0.668	2.12	2.20	40.00	230	0.644	0.014
cuau D	Default	11/25/2014	5:05 PM	100.08	2.502	1.220	2.05	2.09	40.00	230	1.197	0.014
cehw A	Default	11/25/2014	5:06 PM	116.53	2.913	1.422	2.05	1.95	40.00	230	1.496	0.014
cehw B	Default	11/25/2014	5:07 PM	140.31	3.508	1.708	2.05	1.96	40.00	230	1.787	0.004
cehw C	Default	11/25/2014	5:08 PM	56.67	1.417	0.704	2.01	1.95	40.00	230	0.728	0.011
cehw D	Default	11/25/2014	5:09 PM	78.92	1.973	0.950	2.08	1.99	40.00	230	0.993	-0.002
coio A	Default	11/25/2014	5:09 PM	222.12	5.553	2.723	2.04	2.11	40.00	230	2.632	0.002
coio B	Default	11/25/2014	5:10 PM	234.79	5.870	2.889	2.03	1.95	40.00	230	3.014	0.011
coio C	Default	11/25/2014	5:11 PM	118.18	2.955	1.414	2.09	2.06	40.00	230	1.431	-0.004
coio D	Default	11/25/2014	5:12 PM	75.74	1.893	0.910	2.08	2.04	40.00	230	0.926	-0.009
vorx A	Default	11/25/2014	5:12 PM	113.02	2.825	1.380	2.05	2.08	40.00	230	1.359	0.002
vorx B	Default	11/25/2014	5:13 PM	242.55	6.064	2.961	2.05	2.10	40.00	230	2.884	-0.005
vorx C	Default	11/25/2014	5:14 PM	82.79	2.070	0.987	2.10	2.14	40.00	230	0.967	-0.004
vorx D	Default	11/25/2014	5:14 PM	79.12	1.978	0.977	2.02	2.03	40.00	230	0.976	0.005
