Sample ID	User ID	Date 	Time 	ng/ul 	A260 	A280 	260/280 	260/230 	Constant 	Cursor Pos.	Cursor abs.	340 raw
kuxp A	Default	8/18/2015	6:23 PM	331.82	8.296	4.066	2.04	2.06	40.00	230	4.033	-0.007
kuxp B	Default	8/18/2015	6:24 PM	365.44	9.136	4.486	2.04	1.95	40.00	230	4.686	-0.015
kuxp C	Default	8/18/2015	6:25 PM	210.86	5.272	2.566	2.05	1.99	40.00	230	2.650	-0.002
kuxp D	Default	8/18/2015	6:25 PM	275.35	6.884	3.357	2.05	2.04	40.00	230	3.373	0.027
xugn A	Default	8/18/2015	6:26 PM	168.66	4.217	2.059	2.05	1.92	40.00	230	2.199	0.012
xugn B	Default	8/18/2015	6:27 PM	94.26	2.357	1.151	2.05	2.03	40.00	230	1.160	0.001
xugn C	Default	8/18/2015	6:28 PM	108.30	2.708	1.323	2.05	1.85	40.00	230	1.462	0.009
xugn D	Default	8/18/2015	6:29 PM	135.26	3.382	1.657	2.04	1.84	40.00	230	1.843	0.005
oapg A	Default	8/18/2015	6:30 PM	121.03	3.026	1.478	2.05	1.87	40.00	230	1.619	0.001
oapg B	Default	8/18/2015	6:30 PM	156.49	3.912	1.918	2.04	1.96	40.00	230	2.000	0.009
oapg C	Default	8/18/2015	6:31 PM	42.59	1.065	0.534	1.99	1.53	40.00	230	0.694	0.001
oapg D	Default	8/18/2015	6:32 PM	92.35	2.309	1.143	2.02	2.03	40.00	230	1.137	-0.016
