Sample ID	User ID	Date 	Time 	ng/ul 	A260 	A280 	260/280 	260/230 	Constant 	Cursor Pos.	Cursor abs.	340 raw
oomz A	Default	7/9/2014	3:11 PM	228.61	5.715	2.777	2.06	2.12	40.00	230	2.697	0.017
oomz B	Default	7/9/2014	3:12 PM	242.96	6.074	2.956	2.05	2.09	40.00	230	2.907	0.008
oomz C	Default	7/9/2014	3:13 PM	178.26	4.456	2.164	2.06	2.07	40.00	230	2.148	-0.007
oomz D	Default	7/9/2014	3:14 PM	99.99	2.500	1.220	2.05	1.95	40.00	230	1.281	-0.002
qanu A	Default	7/9/2014	3:15 PM	84.82	2.120	1.027	2.06	2.03	40.00	230	1.045	0.005
qanu B	Default	7/9/2014	3:16 PM	98.31	2.458	1.203	2.04	2.03	40.00	230	1.208	0.005
qanu C	Default	7/9/2014	3:17 PM	58.93	1.473	0.722	2.04	2.01	40.00	230	0.731	-0.003
qanu D	Default	7/9/2014	3:18 PM	41.54	1.038	0.508	2.05	1.20	40.00	230	0.863	-0.000
iasn A	Default	7/9/2014	3:19 PM	197.68	4.942	2.421	2.04	2.08	40.00	230	2.379	0.010
iasn B	Default	7/9/2014	3:21 PM	262.00	6.550	3.207	2.04	2.10	40.00	230	3.120	-0.006
iasn C	Default	7/9/2014	3:22 PM	177.38	4.434	2.150	2.06	2.10	40.00	230	2.112	-0.002
iasn D	Default	7/9/2014	3:23 PM	201.28	5.032	2.454	2.05	2.09	40.00	230	2.410	-0.001
aipt A	Default	7/9/2014	3:24 PM	79.39	1.985	0.978	2.03	1.87	40.00	230	1.059	0.018
