Sample ID	User ID	Date 	Time 	ng/ul 	A260 	A280 	260/280 	260/230 	Constant 	Cursor Pos.	Cursor abs.	340 raw
aipt A	Default	6/24/2014	9:49 PM	6.09	0.152	0.081	1.89	-4.93	40.00	230	-0.031	0.025
aipt B	Default	6/24/2014	9:51 PM	267.66	6.691	3.264	2.05	2.13	40.00	230	3.134	0.014
aipt C	Default	6/24/2014	9:52 PM	289.17	7.229	3.537	2.04	2.18	40.00	230	3.313	0.551
aipt D	Default	6/24/2014	9:53 PM	258.69	6.467	3.149	2.05	2.20	40.00	230	2.944	0.032
liun A	Default	6/24/2014	9:55 PM	151.29	3.782	1.844	2.05	2.31	40.00	230	1.639	0.010
liun B	Default	6/24/2014	9:56 PM	318.17	7.954	3.861	2.06	2.21	40.00	230	3.602	0.010
liun C	Default	6/24/2014	9:57 PM	190.86	4.771	2.316	2.06	2.19	40.00	230	2.177	0.009
liun D	Default	6/24/2014	9:58 PM	177.98	4.450	2.154	2.07	2.25	40.00	230	1.978	0.008
