Sample ID	User ID	Date 	Time 	ng/ul 	A260 	A280 	260/280 	260/230 	Constant 	Cursor Pos.	Cursor abs.	340 raw
iasn A	Default	6/9/2014	4:07 PM	156.21	3.905	1.908	2.05	2.02	40.00	230	1.938	-0.002
iasn B	Default	6/9/2014	4:08 PM	139.10	3.477	1.705	2.04	2.18	40.00	230	1.597	-0.007
iasn C	Default	6/9/2014	4:09 PM	125.05	3.126	1.522	2.05	2.12	40.00	230	1.478	0.011
iasn D	Default	6/9/2014	4:10 PM	126.79	3.170	1.579	2.01	1.51	40.00	230	2.101	0.285
ffdk A	Default	6/9/2014	4:12 PM	257.01	6.425	3.135	2.05	2.02	40.00	230	3.174	0.003
ffdk B	Default	6/9/2014	4:13 PM	329.62	8.240	4.038	2.04	2.00	40.00	230	4.112	0.005
ffdk C	Default	6/9/2014	4:14 PM	183.44	4.586	2.218	2.07	1.89	40.00	230	2.423	0.017
ffdk D	Default	6/9/2014	4:15 PM	222.96	5.574	2.712	2.06	1.98	40.00	230	2.818	0.008
ougl A	Default	6/9/2014	4:16 PM	128.41	3.210	1.544	2.08	2.04	40.00	230	1.577	-0.001
ougl B	Default	6/9/2014	4:16 PM	132.44	3.311	1.613	2.05	2.12	40.00	230	1.560	-0.003
iasn D_2	Default	6/9/2014	4:18 PM	123.36	3.084	1.520	2.03	1.54	40.00	230	2.004	0.244
