Sample ID	User ID	Date 	Time 	ng/ul 	A260 	A280 	260/280 	260/230 	Constant 	Cursor Pos.	Cursor abs.	340 raw
sojd A	Default	11/17/2015	3:44 PM	134.57	3.364	1.636	2.06	1.58	40.00	230	2.126	-0.002
sojd B	Default	11/17/2015	3:45 PM	136.78	3.419	1.653	2.07	1.92	40.00	230	1.783	0.010
sojd C	Default	11/17/2015	3:46 PM	118.64	2.966	1.434	2.07	1.98	40.00	230	1.501	-0.009
sojd D	Default	11/17/2015	3:46 PM	92.86	2.321	1.125	2.06	1.83	40.00	230	1.271	0.075
nukw A	Default	11/17/2015	3:48 PM	170.91	4.273	2.088	2.05	1.85	40.00	230	2.304	0.298
nukw B	Default	11/17/2015	3:49 PM	128.93	3.223	1.555	2.07	1.98	40.00	230	1.631	-0.001
nukw C	Default	11/17/2015	3:50 PM	122.64	3.066	1.494	2.05	1.94	40.00	230	1.584	-0.005
nukw D	Default	11/17/2015	3:51 PM	168.65	4.216	2.025	2.08	1.96	40.00	230	2.147	0.009
oevr A	Default	11/17/2015	3:52 PM	72.93	1.823	0.876	2.08	1.28	40.00	230	1.428	-0.016
oevr B	Default	11/17/2015	3:53 PM	85.26	2.131	1.038	2.05	1.75	40.00	230	1.215	-0.004
oevr C	Default	11/17/2015	3:54 PM	47.63	1.191	0.571	2.08	1.83	40.00	230	0.652	0.008
oevr D	Default	11/17/2015	3:55 PM	47.49	1.187	0.582	2.04	1.78	40.00	230	0.666	0.005
