Sample ID	User ID	Date 	Time 	ng/ul 	A260 	A280 	260/280 	260/230 	Constant 	Cursor Pos.	Cursor abs.	340 raw
meqo A	Default	12/4/2014	6:05 PM	44.39	1.110	0.565	1.96	1.31	40.00	230	0.850	0.008
meqo B	Default	12/4/2014	6:06 PM	69.05	1.726	0.850	2.03	2.05	40.00	230	0.841	0.012
meqo C	Default	12/4/2014	6:07 PM	24.22	0.605	0.280	2.17	1.93	40.00	230	0.313	0.009
meqo D	Default	12/4/2014	6:08 PM	44.30	1.108	0.538	2.06	2.20	40.00	230	0.503	-0.003
auim A	Default	12/4/2014	6:12 PM	111.15	2.779	1.355	2.05	2.07	40.00	230	1.343	-0.010
auim B	Default	12/4/2014	6:13 PM	155.63	3.891	1.890	2.06	2.09	40.00	230	1.866	-0.005
auim C	Default	12/4/2014	6:14 PM	75.92	1.898	0.910	2.08	1.86	40.00	230	1.018	-0.011
auim D	Default	12/4/2014	6:14 PM	45.35	1.134	0.548	2.07	1.81	40.00	230	0.627	-0.014
