Sample ID	User ID	Date 	Time 	ng/ul 	A260 	A280 	260/280 	260/230 	Constant 	Cursor Pos.	Cursor abs.	340 raw
sukz A	Default	5/19/2015	9:02 PM	203.41	5.085	2.513	2.02	2.22	40.00	230	2.291	-0.005
sukz B	Default	5/19/2015	9:02 PM	256.46	6.411	3.147	2.04	2.21	40.00	230	2.905	-0.014
sukz C	Default	5/19/2015	9:03 PM	189.69	4.742	2.354	2.01	2.28	40.00	230	2.082	-0.013
sukz D	Default	5/19/2015	9:04 PM	203.93	5.098	2.516	2.03	2.22	40.00	230	2.293	-0.012
kolf A	Default	5/19/2015	9:05 PM	202.72	5.068	2.497	2.03	2.27	40.00	230	2.236	-0.016
kolf B	Default	5/19/2015	9:06 PM	238.37	5.959	2.953	2.02	2.27	40.00	230	2.627	-0.015
kolf C	Default	5/19/2015	9:06 PM	234.43	5.861	2.878	2.04	2.23	40.00	230	2.629	-0.008
kolf D	Default	5/19/2015	9:07 PM	188.32	4.708	2.326	2.02	2.28	40.00	230	2.061	-0.018
veqz A	Default	5/19/2015	9:08 PM	146.75	3.669	1.816	2.02	2.23	40.00	230	1.648	-0.012
veqz B	Default	5/19/2015	9:09 PM	201.68	5.042	2.500	2.02	2.27	40.00	230	2.218	-0.012
veqz C	Default	5/19/2015	9:09 PM	84.99	2.125	1.090	1.95	1.92	40.00	230	1.106	-0.018
veqz D	Default	5/19/2015	9:10 PM	138.18	3.455	1.714	2.01	2.29	40.00	230	1.506	-0.003
