Sample ID	User ID	Date 	Time 	ng/ul 	A260 	A280 	260/280 	260/230 	Constant 	Cursor Pos.	Cursor abs.	340 raw
cups A	Default	4/25/2015	5:02 PM	59.43	1.486	0.725	2.05	1.98	40.00	230	0.750	-0.009
cups B	Default	4/25/2015	5:03 PM	125.19	3.130	1.533	2.04	2.10	40.00	230	1.487	-0.012
cups C	Default	4/25/2015	5:03 PM	74.02	1.850	0.901	2.05	2.04	40.00	230	0.909	-0.015
cups D	Default	4/25/2015	5:04 PM	131.87	3.297	1.596	2.07	2.10	40.00	230	1.571	-0.013
uimo A	Default	4/25/2015	5:05 PM	120.13	3.003	1.439	2.09	2.07	40.00	230	1.449	0.000
uimo B	Default	4/25/2015	5:06 PM	68.00	1.700	0.823	2.07	1.96	40.00	230	0.867	-0.011
uimo C	Default	4/25/2015	5:06 PM	42.63	1.066	0.506	2.10	1.90	40.00	230	0.561	-0.012
uimo D	Default	4/25/2015	5:07 PM	98.09	2.452	1.200	2.04	1.95	40.00	230	1.257	-0.011
yemz A	Default	4/25/2015	5:08 PM	99.16	2.479	1.192	2.08	2.14	40.00	230	1.157	-0.013
yemz B	Default	4/25/2015	5:09 PM	143.97	3.599	1.753	2.05	2.14	40.00	230	1.683	-0.019
yemz C	Default	4/25/2015	5:10 PM	66.84	1.671	0.823	2.03	2.02	40.00	230	0.827	-0.021
yemz D	Default	4/25/2015	5:10 PM	42.86	1.072	0.551	1.95	1.42	40.00	230	0.754	-0.012
