Sample ID	User ID	Date 	Time 	ng/ul 	A260 	A280 	260/280 	260/230 	Constant 	Cursor Pos.	Cursor abs.	340 raw
hiaf A	Default	8/16/2015	8:11 PM	304.18	7.605	3.707	2.05	2.04	40.00	230	3.733	-0.002
hiaf B	Default	8/16/2015	8:12 PM	368.84	9.221	4.533	2.03	2.01	40.00	230	4.589	0.013
hiaf C	Default	8/16/2015	8:13 PM	372.18	9.304	4.535	2.05	2.09	40.00	230	4.445	0.004
hiaf D	Default	8/16/2015	8:13 PM	312.71	7.818	3.832	2.04	2.12	40.00	230	3.692	0.004
febc C	Default	8/16/2015	8:14 PM	84.53	2.113	1.028	2.06	2.08	40.00	230	1.014	0.001
febc B	Default	8/16/2015	8:15 PM	153.60	3.840	1.872	2.05	2.06	40.00	230	1.864	0.016
febc A	Default	8/16/2015	8:16 PM	133.44	3.336	1.618	2.06	2.05	40.00	230	1.629	0.000
febc D	Default	8/16/2015	8:16 PM	122.76	3.069	1.492	2.06	1.85	40.00	230	1.661	-0.013
pamv A	Default	8/16/2015	8:17 PM	275.48	6.887	3.356	2.05	2.13	40.00	230	3.241	0.003
pamv B	Default	8/16/2015	8:18 PM	266.00	6.650	3.235	2.06	1.98	40.00	230	3.352	0.008
pamv C	Default	8/16/2015	8:18 PM	228.84	5.721	2.796	2.05	2.11	40.00	230	2.714	-0.008
pamv D	Default	8/16/2015	8:19 PM	263.83	6.596	3.216	2.05	2.12	40.00	230	3.118	0.008
