Sample ID	User ID	Date 	Time 	ng/ul 	A260 	A280 	260/280 	260/230 	Constant 	Cursor Pos.	Cursor abs.	340 raw
qolg A	Default	11/6/2015	5:45 PM	182.84	4.571	2.204	2.07	1.59	40.00	230	2.881	-0.124
qolg B	Default	11/6/2015	5:46 PM	196.62	4.915	2.404	2.04	2.04	40.00	230	2.408	-0.122
qolg C	Default	11/6/2015	5:47 PM	148.86	3.722	1.798	2.07	2.07	40.00	230	1.795	-0.135
qolg D	Default	11/6/2015	5:47 PM	116.37	2.909	1.419	2.05	1.63	40.00	230	1.784	-0.126
hehd A	Default	11/6/2015	5:48 PM	46.06	1.151	0.539	2.13	1.73	40.00	230	0.667	-0.093
hehd B	Default	11/6/2015	5:49 PM	68.43	1.711	0.838	2.04	1.74	40.00	230	0.986	-0.085
hehd C	Default	11/6/2015	5:50 PM	75.69	1.892	0.952	1.99	1.84	40.00	230	1.031	-0.097
hehd D	Default	11/6/2015	5:51 PM	87.87	2.197	1.058	2.08	1.88	40.00	230	1.170	-0.086
fafq A	Default	11/6/2015	5:52 PM	216.75	5.419	2.649	2.05	1.97	40.00	230	2.751	-0.110
fafq B	Default	11/6/2015	5:52 PM	180.66	4.517	2.197	2.06	1.96	40.00	230	2.304	-0.144
fafq C	Default	11/6/2015	5:53 PM	188.70	4.718	2.273	2.08	1.93	40.00	230	2.447	-0.141
fafq D	Default	11/6/2015	5:54 PM	122.46	3.061	1.485	2.06	2.00	40.00	230	1.534	-0.137
