Sample ID	User ID	Date 	Time 	ng/ul 	A260 	A280 	260/280 	260/230 	Constant 	Cursor Pos.	Cursor abs.	340 raw
oeoo A	Default	9/22/2014	3:22 PM	318.13	7.953	3.893	2.04	2.06	40.00	230	3.869	0.768
oeoo B	Default	9/22/2014	3:23 PM	510.06	12.751	6.094	2.09	2.25	40.00	230	5.672	-3.483
oeoo C	Default	9/22/2014	3:24 PM	386.08	9.652	4.763	2.03	2.03	40.00	230	4.760	0.775
oeoo D	Default	9/22/2014	3:25 PM	369.28	9.232	4.548	2.03	2.07	40.00	230	4.465	0.780
fpdj A	Default	9/22/2014	3:26 PM	114.40	2.860	1.396	2.05	1.97	40.00	230	1.454	0.784
fpdj B	Default	9/22/2014	3:26 PM	170.81	4.270	2.076	2.06	2.03	40.00	230	2.104	0.770
fpdj C	Default	9/22/2014	3:27 PM	106.34	2.658	1.308	2.03	1.94	40.00	230	1.373	0.768
fpdj D	Default	9/22/2014	3:28 PM	102.59	2.565	1.269	2.02	1.78	40.00	230	1.444	0.786
huls A	Default	9/22/2014	3:29 PM	183.45	4.586	2.242	2.05	1.89	40.00	230	2.428	0.773
huls B	Default	9/22/2014	3:30 PM	207.45	5.186	2.541	2.04	1.83	40.00	230	2.829	0.762
huls C	Default	9/22/2014	3:31 PM	101.99	2.550	1.249	2.04	1.87	40.00	230	1.365	0.786
huls D	Default	9/22/2014	3:31 PM	149.07	3.727	1.820	2.05	1.62	40.00	230	2.297	0.767
