Sample ID	User ID	Date 	Time 	ng/ul 	A260 	A280 	260/280 	260/230 	Constant 	Cursor Pos.	Cursor abs.	340 raw
mijn A	Default	5/17/2015	3:37 PM	114.38	2.859	1.385	2.06	2.03	40.00	230	1.406	-0.004
mijn B	Default	5/17/2015	3:38 PM	108.75	2.719	1.334	2.04	2.07	40.00	230	1.311	-0.131
mijn C	Default	5/17/2015	3:39 PM	99.21	2.480	1.218	2.04	1.98	40.00	230	1.253	-0.004
mijn D	Default	5/17/2015	3:39 PM	127.32	3.183	1.561	2.04	1.93	40.00	230	1.651	-0.007
eojr A	Default	5/17/2015	3:41 PM	103.88	2.597	1.277	2.03	1.88	40.00	230	1.382	0.042
eojr B	Default	5/17/2015	3:41 PM	220.28	5.507	2.708	2.03	2.13	40.00	230	2.592	-0.011
eojr C	Default	5/17/2015	3:42 PM	124.07	3.102	1.537	2.02	1.79	40.00	230	1.731	-0.009
eojr D	Default	5/17/2015	3:43 PM	96.01	2.400	1.157	2.07	2.16	40.00	230	1.112	-0.002
ruyv A	Default	5/17/2015	3:43 PM	21.71	0.543	0.270	2.01	1.49	40.00	230	0.365	0.004
ruyv B	Default	5/17/2015	3:44 PM	23.41	0.585	0.283	2.07	1.60	40.00	230	0.365	0.012
ruyv C	Default	5/17/2015	3:45 PM	13.64	0.341	0.158	2.16	1.18	40.00	230	0.289	-0.017
ruyv D	Default	5/17/2015	3:45 PM	17.64	0.441	0.217	2.04	0.48	40.00	230	0.917	0.068
