Sample ID	User ID	Date 	Time 	ng/ul 	A260 	A280 	260/280 	260/230 	Constant 	Cursor Pos.	Cursor abs.	340 raw
kaks A	Default	11/15/2014	9:29 PM	89.22	2.231	1.088	2.05	2.01	40.00	230	1.112	0.098
kaks B	Default	11/15/2014	9:30 PM	150.37	3.759	1.835	2.05	2.02	40.00	230	1.861	0.019
kaks C	Default	11/15/2014	9:31 PM	136.60	3.415	1.640	2.08	2.11	40.00	230	1.617	0.018
kaks D	Default	11/15/2014	9:32 PM	95.05	2.376	1.156	2.06	1.55	40.00	230	1.537	0.023
fpdl A	Default	11/15/2014	9:33 PM	48.68	1.217	0.595	2.05	2.01	40.00	230	0.604	0.016
fpdl B	Default	11/15/2014	9:34 PM	48.30	1.207	0.582	2.07	1.77	40.00	230	0.680	0.024
fpdl C	Default	11/15/2014	9:34 PM	42.77	1.069	0.509	2.10	1.61	40.00	230	0.664	0.026
fpdl D	Default	11/15/2014	9:35 PM	33.19	0.830	0.400	2.08	2.17	40.00	230	0.383	0.018
gomv A	Default	11/15/2014	9:36 PM	181.09	4.527	2.180	2.08	1.75	40.00	230	2.591	-0.001
gomv B	Default	11/15/2014	9:37 PM	183.20	4.580	2.240	2.04	1.40	40.00	230	3.281	0.003
gomv C	Default	11/15/2014	9:38 PM	127.00	3.175	1.522	2.09	2.12	40.00	230	1.498	-0.009
gomv D	Default	11/15/2014	9:38 PM	287.92	7.198	3.486	2.06	2.14	40.00	230	3.361	-0.008
golb A	Default	11/15/2014	9:41 PM	241.92	6.048	2.932	2.06	2.15	40.00	230	2.807	-0.018
golb B	Default	11/15/2014	9:42 PM	322.40	8.060	3.936	2.05	2.12	40.00	230	3.803	-0.021
golb C	Default	11/15/2014	9:42 PM	212.51	5.313	2.582	2.06	2.15	40.00	230	2.474	-0.004
golb D	Default	11/15/2014	9:43 PM	219.24	5.481	2.635	2.08	2.16	40.00	230	2.543	-0.033
