Sample ID	User ID	Date 	Time 	ng/ul 	A260 	A280 	260/280 	260/230 	Constant 	Cursor Pos.	Cursor abs.	340 raw
fikt A	Default	11/11/2015	4:33 PM	156.76	3.919	1.915	2.05	1.94	40.00	230	2.017	0.031
fikt B	Default	11/11/2015	4:34 PM	214.00	5.350	2.606	2.05	2.02	40.00	230	2.644	0.003
fikt C	Default	11/11/2015	4:34 PM	152.57	3.814	1.866	2.04	1.93	40.00	230	1.972	0.006
fikt D	Default	11/11/2015	4:35 PM	146.84	3.671	1.800	2.04	1.87	40.00	230	1.960	0.011
hayt A	Default	11/11/2015	4:36 PM	193.53	4.838	2.344	2.06	2.09	40.00	230	2.311	0.005
hayt B	Default	11/11/2015	4:36 PM	189.42	4.735	2.321	2.04	1.63	40.00	230	2.908	-0.011
hayt C	Default	11/11/2015	4:37 PM	163.55	4.089	1.980	2.06	1.88	40.00	230	2.180	0.012
hayt D	Default	11/11/2015	4:38 PM	152.22	3.806	1.846	2.06	2.10	40.00	230	1.809	0.003
coyi A	Default	11/11/2015	4:39 PM	115.66	2.891	1.408	2.05	1.96	40.00	230	1.474	-0.009
coyi B	Default	11/11/2015	4:39 PM	145.43	3.636	1.768	2.06	1.87	40.00	230	1.949	0.013
coyi C	Default	11/11/2015	4:40 PM	45.73	1.143	0.588	1.95	1.33	40.00	230	0.860	0.036
coyi D	Default	11/11/2015	4:41 PM	41.23	1.031	0.516	2.00	1.36	40.00	230	0.756	0.009
