Sample ID	User ID	Date 	Time 	ng/ul 	A260 	A280 	260/280 	260/230 	Constant 	Cursor Pos.	Cursor abs.	340 raw
diku A	Default	11/30/2015	4:36 PM	289.01	7.225	3.501	2.06	2.04	40.00	230	3.543	0.015
diku B	Default	11/30/2015	4:37 PM	378.37	9.459	4.627	2.04	2.08	40.00	230	4.554	0.008
diku C	Default	11/30/2015	4:38 PM	273.14	6.829	3.328	2.05	2.03	40.00	230	3.361	0.013
diku D	Default	11/30/2015	4:39 PM	235.33	5.883	2.860	2.06	1.80	40.00	230	3.265	0.011
iill A	Default	11/30/2015	4:41 PM	336.60	8.415	4.105	2.05	2.05	40.00	230	4.099	0.015
iill B	Default	11/30/2015	4:42 PM	326.73	8.168	3.967	2.06	2.10	40.00	230	3.885	-0.000
iill C	Default	11/30/2015	4:43 PM	315.41	7.885	3.859	2.04	1.94	40.00	230	4.067	0.014
iill D	Default	11/30/2015	4:43 PM	351.73	8.793	4.291	2.05	2.09	40.00	230	4.200	0.010
zaui A	Default	11/30/2015	4:45 PM	139.66	3.492	1.712	2.04	1.87	40.00	230	1.869	0.004
zaui B	Default	11/30/2015	4:46 PM	169.56	4.239	2.057	2.06	2.01	40.00	230	2.114	-0.001
zaui C	Default	11/30/2015	4:47 PM	125.77	3.144	1.526	2.06	1.78	40.00	230	1.765	0.027
zaui D	Default	11/30/2015	4:48 PM	144.87	3.622	1.762	2.06	1.92	40.00	230	1.886	0.019
