Sample ID	User ID	Date 	Time 	ng/ul 	A260 	A280 	260/280 	260/230 	Constant 	Cursor Pos.	Cursor abs.	340 raw
cicb A	Default	4/25/2015	8:59 PM	146.53	3.663	1.781	2.06	1.58	40.00	230	2.316	0.421
cicb B	Default	4/25/2015	8:59 PM	184.59	4.615	2.182	2.11	2.05	40.00	230	2.256	0.016
cicb C	Default	4/25/2015	9:00 PM	130.66	3.266	1.567	2.08	2.07	40.00	230	1.578	-0.006
cicb D	Default	4/25/2015	9:01 PM	126.05	3.151	1.493	2.11	1.82	40.00	230	1.727	-0.007
ieki A	Default	4/25/2015	9:02 PM	100.31	2.508	1.186	2.11	1.87	40.00	230	1.344	0.002
ieki B	Default	4/25/2015	9:02 PM	102.51	2.563	1.210	2.12	1.85	40.00	230	1.385	0.003
ieki C	Default	4/25/2015	9:03 PM	246.02	6.150	2.982	2.06	2.13	40.00	230	2.893	0.008
ieki D	Default	4/25/2015	9:04 PM	261.75	6.544	3.174	2.06	1.53	40.00	230	4.281	0.009
licq A	Default	4/25/2015	9:05 PM	48.73	1.218	0.595	2.05	1.67	40.00	230	0.728	-0.065
licq B	Default	4/25/2015	9:05 PM	83.70	2.093	1.020	2.05	2.03	40.00	230	1.029	0.009
licq C	Default	4/25/2015	9:06 PM	51.86	1.296	0.600	2.16	1.20	40.00	230	1.081	0.005
licq D	Default	4/25/2015	9:07 PM	74.23	1.856	0.857	2.17	1.99	40.00	230	0.932	-0.004
nibo A	Default	4/25/2015	9:08 PM	151.62	3.791	1.826	2.08	1.84	40.00	230	2.062	-0.003
nibo B	Default	4/25/2015	9:08 PM	211.00	5.275	2.546	2.07	2.09	40.00	230	2.519	0.004
nibo C	Default	4/25/2015	9:09 PM	111.92	2.798	1.333	2.10	1.76	40.00	230	1.586	0.003
nibo D	Default	4/25/2015	9:10 PM	168.55	4.214	2.023	2.08	2.09	40.00	230	2.017	0.008
