Sample ID	User ID	Date 	Time 	ng/ul 	A260 	A280 	260/280 	260/230 	Constant 	Cursor Pos.	Cursor abs.	340 raw
oefg A	Default	4/29/2015	7:09 PM	408.03	10.201	4.989	2.04	2.14	40.00	230	4.770	0.685
oefg B	Default	4/29/2015	7:09 PM	394.07	9.852	4.858	2.03	2.13	40.00	230	4.626	0.705
oefg C	Default	4/29/2015	7:10 PM	328.43	8.211	4.037	2.03	2.13	40.00	230	3.856	0.670
oefg D	Default	4/29/2015	7:10 PM	337.44	8.436	4.147	2.03	2.12	40.00	230	3.977	0.687
eika A	Default	4/29/2015	7:11 PM	41.76	1.044	0.512	2.04	0.81	40.00	230	1.291	0.688
eika B	Default	4/29/2015	7:12 PM	66.65	1.666	0.827	2.02	1.65	40.00	230	1.011	0.675
eika C	Default	4/29/2015	7:13 PM	44.34	1.109	0.540	2.05	1.76	40.00	230	0.631	0.683
eika D	Default	4/29/2015	7:13 PM	40.43	1.011	0.507	1.99	1.96	40.00	230	0.516	0.681
ruyv A	Default	4/29/2015	7:14 PM	63.01	1.575	0.776	2.03	1.96	40.00	230	0.802	0.675
ruyv B	Default	4/29/2015	7:15 PM	33.16	0.829	0.416	1.99	1.78	40.00	230	0.465	0.676
ruyv C	Default	4/29/2015	7:15 PM	42.17	1.054	0.548	1.92	0.48	40.00	230	2.174	1.374
ruyv D	Default	4/29/2015	7:17 PM	30.07	0.752	0.369	2.04	1.36	40.00	230	0.553	0.688
